Direktori,label
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1075.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1076.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1077.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1078.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1079.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-108.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1080.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1081.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1082.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1083.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1084.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1085.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1086.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1087.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1088.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1089.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-109.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1090.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1091.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1092.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1093.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1094.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1095.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1096.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1097.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1098.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1099.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-11.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-110.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1100.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1101.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1102.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1103.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1104.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1105.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1106.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1107.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1108.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1109.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-111.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1110.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1111.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1112.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1113.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1114.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1115.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1116.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1117.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1118.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1119.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-112.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1120.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1121.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1122.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1123.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1124.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1125.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1126.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1127.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1128.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1129.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-113.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1130.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1131.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1132.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1133.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1134.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1135.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1136.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1137.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1138.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1139.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-114.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1140.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1141.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1142.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1143.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1144.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1145.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1146.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1147.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1148.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1149.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-115.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1150.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1151.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1152.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1153.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1154.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1155.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1156.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1157.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1158.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1159.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-116.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1160.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1161.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1162.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1163.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1164.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1165.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1166.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1167.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1168.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1169.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-117.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1170.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1171.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1172.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1173.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1174.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1175.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1176.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1177.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1178.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1179.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-118.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1180.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1181.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1182.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1183.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1184.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1185.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1186.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1187.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1188.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1189.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-119.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1190.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1191.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1192.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1193.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1194.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1195.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1196.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1197.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1198.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1199.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-12.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-120.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1200.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1201.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1202.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1203.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1204.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1205.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1206.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1207.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1208.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1209.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-121.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1210.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1211.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1212.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1213.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1214.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1215.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1216.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1217.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1218.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1219.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-122.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1220.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1221.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1222.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1223.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1224.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1225.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1226.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1227.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1228.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1229.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-123.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1230.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1231.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1232.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1233.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1234.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1235.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1236.jpg,Dasyatis centroura
/content/drive/MyDrive/Colab Notebooks/dataset/data_ikan/Species/Training_Set/Dasyatis centroura/dasyatis_centroura-1237.jpg,Dasyatis centroura
